X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%,Score
Mn,0.7,29.0,0.15,6.5,,54.150000000000006,52.85,850.3558209676394,5.504635,20,9.5,,61.35355820967639
Mn,0.7,29.0,0.1,6.5,,54.2,52.050000000000004,837.5631186189368,5.504560000000001,20,9.5,,60.42563118618937
Mn,0.7,29.0,0.05,6.5,,54.25,51.25,820.8913443309021,5.504485,20,9.5,,59.45891344330902
Mn,0.7,29.0,0.0,6.5,,54.3,50.45,780.6421207359059,5.504410000000001,20,9.5,,58.25642120735906
