Time (sec)	Position (Flex Unit) (mm)	Force (N)	Strain (%)	Stress (MPa)
25.9867	6.86920	2.33900	0.824305	4.38562
26.0161	6.86705	2.33333	0.824046	4.37499
26.0456	6.86411	2.33333	0.823693	4.37499
26.0751	6.86155	2.32039	0.823386	4.35073
26.1045	6.85881	2.28770	0.823057	4.28943
26.1340	6.85572	2.26173	0.822687	4.24074
26.1634	6.85320	2.23369	0.822384	4.18817
26.1929	6.85022	2.23333	0.822026	4.18749
26.2223	6.84800	2.23333	0.821760	4.18749
26.2518	6.84495	2.20587	0.821394	4.13599
26.2812	6.84255	2.18044	0.821106	4.08832
26.3107	6.83951	2.16667	0.820741	4.06249
26.3401	6.83686	2.13333	0.820423	3.99999
26.3696	6.83433	2.12714	0.820120	3.98839
26.3990	6.83120	2.10394	0.819744	3.94487
26.4285	6.82892	2.06667	0.819471	3.87499
26.4580	6.82632	2.08880	0.819159	3.91649
26.4874	6.82312	2.04147	0.818774	3.82774
26.5169	6.82081	2.03333	0.818497	3.81249
26.5463	6.81783	2.00792	0.818140	3.76485
26.5758	6.81540	1.98556	0.817848	3.72291
26.6052	6.81202	1.96667	0.817442	3.68749
26.6347	6.80941	1.96106	0.817129	3.67699
26.6641	6.80646	1.93333	0.816775	3.62499
26.6936	6.80294	1.93333	0.816352	3.62499
26.7230	6.80121	1.90000	0.816145	3.56249
26.7525	6.79867	1.88672	0.815841	3.53760
26.7820	6.79558	1.86667	0.815469	3.49999
26.8114	6.79183	1.83333	0.815020	3.43749
26.8409	6.78959	1.83333	0.814750	3.43749
26.8703	6.78708	1.81274	0.814450	3.39889
26.8998	6.78475	1.80000	0.814169	3.37499
26.9292	6.78199	1.77580	0.813838	3.32962
26.9587	6.77898	1.74330	0.813478	3.26869
26.9881	6.77649	1.73333	0.813179	3.25000
27.0176	6.77378	1.73333	0.812853	3.25000
27.0470	6.77094	1.71453	0.812512	3.21475
27.0765	6.76879	1.70000	0.812255	3.18750
27.1059	6.76520	1.65862	0.811823	3.10991
27.1354	6.76246	1.63333	0.811495	3.06250
27.1649	6.76002	1.63333	0.811202	3.06250
27.1943	6.75717	1.61665	0.810860	3.03122
27.2238	6.75470	1.60000	0.810565	3.00000
27.2532	6.75184	1.57026	0.810221	2.94422
27.2827	6.74887	1.56667	0.809864	2.93750
27.3121	6.74621	1.55661	0.809545	2.91864
27.3416	6.74335	1.52614	0.809202	2.86152
27.3710	6.74066	1.50000	0.808879	2.81250
27.4005	6.73806	1.50000	0.808567	2.81250
27.4299	6.73504	1.47241	0.808205	2.76076
27.4594	6.73269	1.46667	0.807923	2.75000
27.4888	6.72954	1.43541	0.807545	2.69140
27.5183	6.72679	1.41793	0.807215	2.65861
27.5478	6.72363	1.38481	0.806836	2.59651
27.5772	6.72115	1.36667	0.806537	2.56250
27.6067	6.71848	1.36667	0.806217	2.56250
27.6361	6.71567	1.36667	0.805880	2.56250
27.6656	6.71340	1.32484	0.805608	2.48407
27.6950	6.71064	1.30000	0.805277	2.43750
27.7245	6.70782	1.30000	0.804938	2.43750
27.7539	6.70514	1.28141	0.804617	2.40264
27.7834	6.70240	1.26552	0.804288	2.37284
27.8128	6.69969	1.23549	0.803963	2.31654
27.8423	6.69717	1.23333	0.803660	2.31250
27.8718	6.69421	1.22268	0.803305	2.29251
27.9012	6.69149	1.20000	0.802979	2.25000
27.9307	6.68858	1.15971	0.802630	2.17445
27.9601	6.68601	1.16624	0.802322	2.18669
27.9896	6.68385	1.16050	0.802061	2.17593
28.0190	6.68142	1.13333	0.801770	2.12500
28.0485	6.67824	1.11732	0.801389	2.09497
28.0779	6.67508	1.08606	0.801009	2.03636
28.1074	6.67268	1.06667	0.800722	2.00000
28.1368	6.67007	1.06667	0.800408	2.00000
28.1663	6.66738	1.02377	0.800085	1.91957
28.1957	6.66433	1.00000	0.799719	1.87500
28.2252	6.66149	0.994366	0.799379	1.86443
28.2547	6.65865	0.962505	0.799038	1.80469
28.2841	6.65594	0.933333	0.798713	1.75000
28.3136	6.65329	0.932824	0.798395	1.74904
28.3430	6.65060	0.901132	0.798072	1.68962
28.3725	6.64795	0.869972	0.797754	1.63119
28.4019	6.64505	0.866667	0.797406	1.62500
28.4314	6.64246	0.866667	0.797095	1.62500
28.4608	6.63945	0.846813	0.796734	1.58777
28.4903	6.63679	0.833333	0.796415	1.56250
28.5197	6.63420	0.813286	0.796103	1.52491
28.5492	6.63147	0.800000	0.795776	1.50000
28.5786	6.62881	0.784052	0.795457	1.47009
28.6081	6.62612	0.752431	0.795135	1.41081
28.6376	6.62344	0.733333	0.794813	1.37500
28.6670	6.62067	0.722872	0.794481	1.35538
28.6965	6.61782	0.700000	0.794139	1.31250
28.7259	6.61525	0.700000	0.793830	1.31250
28.7554	6.61241	0.695266	0.793489	1.30362
28.7848	6.60961	0.663840	0.793153	1.24470
28.8143	6.60711	0.633333	0.792853	1.18750
28.8437	6.60443	0.633333	0.792532	1.18750
28.8732	6.60161	0.603074	0.792193	1.13076
28.9026	6.59906	0.571595	0.791887	1.07174
28.9321	6.59648	0.540958	0.791578	1.01430
28.9616	6.59366	0.533333	0.791239	0.999998
28.9910	6.59122	0.533333	0.790946	0.999998
29.0205	6.58847	0.515351	0.790617	0.966282
29.0499	6.58556	0.481112	0.790267	0.902084
29.0794	6.58282	0.466667	0.789938	0.874999
29.1088	6.58005	0.466667	0.789607	0.874999
29.1383	6.57738	0.453542	0.789286	0.850390
29.1677	6.57477	0.433333	0.788973	0.812499
29.1972	6.57217	0.424069	0.788660	0.795129
29.2266	6.56938	0.400000	0.788325	0.749999
29.2561	6.56670	0.400000	0.788004	0.749999
29.2855	6.56402	0.396291	0.787682	0.743044
29.3150	6.56135	0.365041	0.787362	0.684450
29.3445	6.55849	0.333176	0.787018	0.624705
29.3739	6.55596	0.301606	0.786715	0.565511
29.4034	6.55315	0.300000	0.786379	0.562499
29.4328	6.55046	0.300000	0.786056	0.562499
29.4623	6.54766	0.274001	0.785719	0.513751
29.4917	6.54511	0.266667	0.785413	0.499999
29.5212	6.54287	0.266667	0.785145	0.499999
29.5506	6.54015	0.249861	0.784818	0.468489
29.5801	6.53705	0.215387	0.784446	0.403849
29.6095	6.53431	0.184083	0.784118	0.345155
29.6390	6.53163	0.166667	0.783796	0.312500
29.6684	6.52901	0.166667	0.783482	0.312500
29.6979	6.52651	0.156335	0.783181	0.293128
29.7274	6.52392	0.125044	0.782870	0.234458
29.7568	6.52118	0.100000	0.782542	0.187500
29.7863	6.51877	0.0953902	0.782253	0.178856
29.8452	6.51383	0.0666667	0.781660	0.125000
