3	Time/s	Displacement/mm	Force/kN	Tensile strain (Strain 1)/%	Tensile displacement/mm	Strain 1/%
	0.0000	0.0000	0.0361	-0.0005	-0.0003	-0.0005
	0.0200	0.0002	0.0361	-0.0006	-0.0003	-0.0006
	0.0400	0.0007	0.0375	-0.0005	-0.0003	-0.0005
	0.0600	0.0016	0.0404	-0.0004	-0.0002	-0.0004
	0.0800	0.0028	0.0453	-0.0002	-0.0001	-0.0002
	0.1000	0.0045	0.0525	0.0000	0.0000	0.0000
	0.1200	0.0063	0.0620	0.0004	0.0002	0.0004
	0.1400	0.0078	0.0715	0.0008	0.0004	0.0008
	0.1600	0.0094	0.0803	0.0013	0.0006	0.0013
	0.1800	0.0111	0.0890	0.0016	0.0008	0.0016
	0.2000	0.0128	0.0979	0.0020	0.0010	0.0020
	0.2200	0.0144	0.1073	0.0024	0.0012	0.0024
	0.2400	0.0162	0.1183	0.0028	0.0014	0.0028
	0.2600	0.0178	0.1306	0.0033	0.0016	0.0033
	0.2800	0.0195	0.1431	0.0037	0.0019	0.0037
	0.3000	0.0211	0.1560	0.0042	0.0021	0.0042
	0.3200	0.0226	0.1693	0.0046	0.0023	0.0046
	0.3400	0.0243	0.1821	0.0051	0.0026	0.0051
	0.3600	0.0262	0.1960	0.0056	0.0028	0.0056
	0.3800	0.0280	0.2119	0.0061	0.0031	0.0061
	0.4000	0.0296	0.2277	0.0067	0.0034	0.0067
	0.4200	0.0313	0.2432	0.0072	0.0036	0.0072
	0.4400	0.0328	0.2582	0.0078	0.0039	0.0078
	0.4600	0.0345	0.2728	0.0082	0.0041	0.0082
	0.4800	0.0361	0.2877	0.0088	0.0044	0.0088
	0.5000	0.0377	0.3026	0.0094	0.0047	0.0094
	0.5200	0.0396	0.3185	0.0099	0.0049	0.0099
	0.5400	0.0414	0.3360	0.0105	0.0052	0.0105
	0.5600	0.0429	0.3532	0.0111	0.0056	0.0111
	0.5800	0.0445	0.3692	0.0117	0.0058	0.0117
	0.6000	0.0461	0.3846	0.0122	0.0061	0.0122
	0.6200	0.0477	0.3997	0.0127	0.0063	0.0127
	0.6400	0.0494	0.4156	0.0132	0.0066	0.0132
	0.6600	0.0511	0.4322	0.0138	0.0069	0.0138
	0.6800	0.0529	0.4491	0.0145	0.0072	0.0145
	0.7000	0.0547	0.4670	0.0151	0.0076	0.0151
	0.7200	0.0563	0.4848	0.0158	0.0079	0.0158
	0.7400	0.0579	0.5012	0.0163	0.0082	0.0163
	0.7600	0.0595	0.5171	0.0169	0.0084	0.0169
	0.7800	0.0610	0.5329	0.0174	0.0087	0.0174
	0.8000	0.0627	0.5488	0.0180	0.0090	0.0180
	0.8200	0.0644	0.5654	0.0186	0.0093	0.0186
	0.8400	0.0659	0.5816	0.0192	0.0096	0.0192
	0.8600	0.0677	0.5977	0.0197	0.0099	0.0197
	0.8800	0.0694	0.6147	0.0204	0.0102	0.0204
	0.9000	0.0710	0.6315	0.0210	0.0105	0.0210
	0.9200	0.0727	0.6479	0.0215	0.0108	0.0215
	0.9400	0.0743	0.6643	0.0222	0.0111	0.0222
	0.9600	0.0759	0.6807	0.0227	0.0114	0.0227
	0.9800	0.0776	0.6971	0.0233	0.0116	0.0233
	1.0000	0.0791	0.7133	0.0239	0.0119	0.0239
	1.0200	0.0809	0.7290	0.0244	0.0122	0.0244
	1.0400	0.0827	0.7458	0.0250	0.0125	0.0250
	1.0600	0.0844	0.7633	0.0256	0.0128	0.0256
	1.0800	0.0860	0.7799	0.0263	0.0131	0.0263
	1.1000	0.0876	0.7957	0.0269	0.0134	0.0269
	1.1200	0.0892	0.8110	0.0274	0.0137	0.0274
	1.1400	0.0909	0.8263	0.0279	0.0140	0.0279
	1.1600	0.0925	0.8420	0.0285	0.0142	0.0285
	1.1800	0.0942	0.8575	0.0290	0.0145	0.0290
	1.2000	0.0961	0.8738	0.0296	0.0148	0.0296
	1.2200	0.0978	0.8914	0.0303	0.0151	0.0303
	1.2400	0.0994	0.9077	0.0308	0.0154	0.0308
	1.2600	0.1010	0.9229	0.0314	0.0157	0.0314
	1.2800	0.1025	0.9377	0.0319	0.0160	0.0319
	1.3000	0.1042	0.9522	0.0324	0.0162	0.0324
	1.3200	0.1059	0.9675	0.0330	0.0165	0.0330
	1.3400	0.1076	0.9832	0.0336	0.0168	0.0336
	1.3600	0.1094	0.9988	0.0341	0.0171	0.0341
	1.3800	0.1111	1.0150	0.0347	0.0174	0.0347
	1.4000	0.1127	1.0305	0.0353	0.0176	0.0353
	1.4200	0.1143	1.0449	0.0358	0.0179	0.0358
	1.4400	0.1160	1.0596	0.0363	0.0182	0.0363
	1.4600	0.1177	1.0744	0.0369	0.0184	0.0369
	1.4800	0.1194	1.0896	0.0374	0.0187	0.0374
	1.5000	0.1210	1.1050	0.0380	0.0190	0.0380
	1.5200	0.1226	1.1193	0.0385	0.0192	0.0385
	1.5400	0.1244	1.1338	0.0390	0.0195	0.0390
	1.5600	0.1261	1.1490	0.0396	0.0198	0.0396
	1.5800	0.1277	1.1637	0.0401	0.0201	0.0401
	1.6000	0.1295	1.1784	0.0406	0.0203	0.0406
	1.6200	0.1311	1.1929	0.0411	0.0206	0.0411
	1.6400	0.1328	1.2073	0.0417	0.0208	0.0417
	1.6600	0.1344	1.2218	0.0422	0.0211	0.0422
	1.6800	0.1360	1.2354	0.0427	0.0213	0.0427
