X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%
Ni,0.0,27.0,0.0,10.5,4.5,58.0,61.65,613.1361835703966,7.374,20,,
Ni,0.0,27.0,0.0,10.5,5.0,57.5,61.65,615.4311362491995,7.4435,20,,
Ni,0.0,27.0,0.0,10.5,5.5,57.0,61.65,617.613934297438,7.513,20,,
Ni,0.0,27.0,0.0,10.5,6.0,56.5,61.65,619.6995715548674,7.5825,20,,
Ni,0.0,27.0,0.0,10.5,6.5,56.0,61.65,621.6999718351316,7.652,20,,
Ni,0.0,27.0,0.0,10.5,7.0,55.5,61.65,623.6248029204955,7.7215,20,,
Ni,0.0,27.0,0.0,10.5,7.5,55.0,61.65,625.4820324497204,7.791,20,,
Ni,0.0,27.0,0.0,10.5,8.0,54.5,61.65,627.2783191941276,7.8605,20,,
Ni,0.0,27.0,0.0,10.5,8.5,54.0,61.65,629.0192956476568,7.93,20,,
Ni,0.0,27.0,0.0,10.5,9.0,53.5,61.65,630.7097766992038,7.999499999999999,20,,
Ni,0.0,27.0,0.0,10.5,9.5,53.0,61.65,632.3539167288935,8.068999999999999,20,,
Ni,0.0,27.0,0.0,10.5,10.0,52.5,61.65,633.9553299025713,8.1385,20,,
Ni,0.0,27.5,0.0,9.5,0.0,63.0,58.849999999999994,553.406388607915,6.394500000000001,20,,
Ni,0.0,27.5,0.0,9.5,0.5,62.5,58.849999999999994,567.548524231646,6.464,20,,
Ni,0.0,27.5,0.0,9.5,1.0,62.0,58.849999999999994,573.406388607915,6.533500000000001,20,,
Ni,0.0,27.5,0.0,9.5,1.5,61.5,58.849999999999994,577.9012860357468,6.603000000000001,20,,
Ni,0.0,27.5,0.0,9.5,2.0,61.0,58.849999999999994,581.6906598553769,6.672500000000001,20,,
Ni,0.0,27.5,0.0,9.5,2.5,60.5,58.849999999999994,585.0291652095988,6.742000000000001,20,,
Ni,0.0,27.5,0.0,9.5,3.0,60.0,58.849999999999994,588.0474047592926,6.8115000000000006,20,,
Ni,0.0,27.5,0.0,9.5,3.5,59.5,58.849999999999994,590.8229624756544,6.881000000000001,20,,
