Tensile strain (Strain 1) : Primary source		Strain 1				
						
Results Table 1						
	Tensile strain (Strain 1) gauge length	Strain 1 gauge length	Time at removal			
	(mm)	(mm)	(s)			
1	50.00	50.00	54.05			
2	50.00	50.00	54.07			
3	50.00	50.00	54.05			
						
Results Table 2						

						
						
1	Time	Displacement	Force	Tensile strain (Strain 1)	Tensile displacement	Strain 1
	(s)	(mm)	(kN)	(%)	(mm)	(%)
	4.6600	0.3842	2.8675	0.1062	0.0531	0.1062
	4.6800	0.3859	2.8786	0.1066	0.0533	0.1066
	4.7000	0.3876	2.8901	0.1070	0.0535	0.1070
	4.7200	0.3895	2.9018	0.1075	0.0537	0.1075
	4.7400	0.3912	2.9145	0.1079	0.0540	0.1079
	4.7600	0.3928	2.9262	0.1084	0.0542	0.1084
	4.7800	0.3944	2.9365	0.1087	0.0544	0.1087
	4.8000	0.3960	2.9469	0.1091	0.0546	0.1091
	4.8200	0.3976	2.9573	0.1095	0.0547	0.1095
	4.8400	0.3993	2.9681	0.1099	0.0549	0.1099
	4.8600	0.4009	2.9793	0.1103	0.0552	0.1103
	4.8800	0.4025	2.9901	0.1107	0.0554	0.1107
	4.9000	0.4043	3.0011	0.1111	0.0556	0.1111
	4.9200	0.4059	3.0129	0.1115	0.0558	0.1115
	4.9400	0.4076	3.0241	0.1120	0.0560	0.1120
	4.9600	0.4092	3.0350	0.1123	0.0562	0.1123
	4.9800	0.4109	3.0459	0.1127	0.0564	0.1127
	5.0000	0.4126	3.0567	0.1132	0.0566	0.1132
	5.0200	0.4142	3.0676	0.1136	0.0568	0.1136
	5.0400	0.4157	3.0781	0.1140	0.0570	0.1140
	5.0600	0.4176	3.0886	0.1143	0.0572	0.1143
	5.0800	0.4194	3.1005	0.1148	0.0574	0.1148
	5.1000	0.4210	3.1124	0.1152	0.0576	0.1152
	5.1200	0.4226	3.1230	0.1156	0.0578	0.1156
	5.1400	0.4242	3.1332	0.1160	0.0580	0.1160
	5.1600	0.4258	3.1432	0.1163	0.0582	0.1163
	5.1800	0.4275	3.1536	0.1167	0.0584	0.1167
	5.2000	0.4291	3.1645	0.1171	0.0586	0.1171
	5.2200	0.4309	3.1752	0.1176	0.0588	0.1176
	5.2400	0.4327	3.1872	0.1180	0.0590	0.1180
	5.2600	0.4343	3.1995	0.1184	0.0592	0.1184
	5.2800	0.4359	3.2099	0.1188	0.0594	0.1188
	5.3000	0.4375	3.2197	0.1192	0.0596	0.1192
	5.3200	0.4391	3.2297	0.1196	0.0598	0.1196
	5.3400	0.4408	3.2401	0.1200	0.0600	0.1200
	5.3600	0.4425	3.2513	0.1204	0.0602	0.1204
	5.3800	0.4442	3.2626	0.1208	0.0604	0.1208
	5.4000	0.4460	3.2739	0.1212	0.0606	0.1212
	5.4200	0.4476	3.2857	0.1217	0.0608	0.1217
	5.4400	0.4491	3.2962	0.1220	0.0610	0.1220
	5.4600	0.4508	3.3060	0.1224	0.0612	0.1224
	5.4800	0.4524	3.3167	0.1228	0.0614	0.1228
	5.5000	0.4541	3.3278	0.1231	0.0616	0.1231
	5.5200	0.4559	3.3394	0.1236	0.0618	0.1236
	5.5400	0.4575	3.3508	0.1241	0.0620	0.1241
	5.5600	0.4592	3.3614	0.1245	0.0622	0.1245
	5.5800	0.4609	3.3724	0.1249	0.0625	0.1249
	5.6000	0.4626	3.3838	0.1253	0.0627	0.1253
	5.6200	0.4643	3.3948	0.1257	0.0628	0.1257
	5.6400	0.4660	3.4060	0.1261	0.0630	0.1261
	5.6600	0.4677	3.4171	0.1265	0.0632	0.1265
	5.6800	0.4694	3.4280	0.1269	0.0635	0.1269
	5.7000	0.4709	3.4389	0.1273	0.0636	0.1273
	5.7200	0.4725	3.4490	0.1277	0.0638	0.1277
	5.7400	0.4744	3.4597	0.1281	0.0640	0.1281
	5.7600	0.4762	3.4722	0.1285	0.0643	0.1285
	5.7800	0.4778	3.4842	0.1290	0.0645	0.1290
	5.8000	0.4795	3.4953	0.1294	0.0647	0.1294
	5.8200	0.4811	3.5060	0.1298	0.0649	0.1298
	5.8400	0.4827	3.5160	0.1302	0.0651	0.1302
	5.8600	0.4842	3.5263	0.1306	0.0653	0.1306
	5.8800	0.4858	3.5364	0.1309	0.0655	0.1309
	5.9000	0.4876	3.5469	0.1313	0.0656	0.1313
	5.9200	0.4894	3.5591	0.1317	0.0659	0.1317
	5.9400	0.4910	3.5713	0.1322	0.0661	0.1322
	5.9600	0.4926	3.5820	0.1326	0.0663	0.1326
	5.9800	0.4942	3.5926	0.1330	0.0665	0.1330
	6.0000	0.4958	3.6030	0.1334	0.0667	0.1334
	6.0200	0.4975	3.6135	0.1337	0.0669	0.1337
	6.0400	0.4991	3.6246	0.1341	0.0671	0.1341
	6.0600	0.5009	3.6357	0.1346	0.0673	0.1346
	6.0800	0.5027	3.6475	0.1350	0.0675	0.1350
	6.1000	0.5043	3.6598	0.1355	0.0677	0.1355
	6.1200	0.5059	3.6706	0.1359	0.0679	0.1359
