Radial Modelled (mm)	 Height Modelled (mm)
0.0	-0.19200895726680800
0.010049782693386100	-0.19188615679740900
0.020099565386772200	-0.1916712522506710
0.030141681432724	-0.1915300339460370
0.04019913077354430	-0.1911616176366810
0.050225917249918000	-0.19071339070797000
0.060283362865448	-0.19012394547462500
0.07034080475568770	-0.18945465981960300
0.08039826154708860	-0.18871784210205100
0.09045571088790890	-0.18789507448673200
0.10045183449983600	-0.18693719804287000
0.11050927639007600	-0.18585655093193100
0.120566725730896	-0.18470832705497700
0.1306241750717160	-0.18343733251094800
0.14068160951137500	-0.18208035826683000
0.15073907375335700	-0.18063127994537400
0.16079652309417700	-0.17909011244773900
0.17085395753383600	-0.17749367654323600
0.18091142177581800	-0.17595863342285200
0.19084620475769000	-0.1743069440126420
0.20090366899967200	-0.17258156836032900
0.21096110343933100	-0.17075181007385300
0.22101855278015100	-0.16874398291111000
0.23107600212097200	-0.16658879816532100
0.241133451461792	-0.16433537006378200
0.2511909008026120	-0.16205736994743300
0.2612483501434330	-0.15965044498443600
0.27130579948425300	-0.15711456537246700
0.28136321902275100	-0.1544988602399830
0.29142066836357100	-0.15178492665290800
0.30147814750671400	-0.14891748130321500
0.3115355968475340	-0.14590266346931500
0.3215930461883550	-0.14284488558769200
0.3316504657268520	-0.13970112800598100
0.34170791506767300	-0.1364407241344450
0.35176539421081500	-0.1330145299434660
0.36182284355163600	-0.129588320851326
0.37188026309013400	-0.12606696784496300
0.38169240951538100	-0.12237980961799600
0.39174985885620100	-0.1185268759727480
0.40180733799934400	-0.11468621343374300
0.4118647575378420	-0.11068285256624200
0.4219222068786620	-0.10654439777135800
0.4319796562194820	-0.1022954136133190
0.44203710556030300	-0.09799425303936010
0.45209452509880100	-0.0934843197464943
0.46215200424194300	-0.088780976831913
0.47220945358276400	-0.08407149463891980
0.482266902923584	-0.07939577847719190
0.4923243522644040	-0.0744253396987915
0.5023818016052250	-0.06909877061843870
0.5121939182281490	-0.06384128332138060
0.5224967002868650	-0.05858531594276430
0.53230881690979	-0.05312059447169300
0.5426115989685060	-0.0474194698035717
0.5524237751960750	-0.041710689663887000
0.5627264380455020	-0.03572174534201620
0.5725386142730710	-0.02944192662835120
0.5828413367271420	-0.023162871599197400
0.5926535129547120	-0.016844287514686600
0.6029562950134280	-0.01027961727231740
0.6127684116363530	-0.0035997601225972200
0.6230711936950680	0.0028523155488073800
0.6328833103179930	0.00950496457517147
0.643186092376709	0.015838509425520900
0.6529982089996340	0.01844039373099800
0.6633009314537050	0.01987488567829130
0.6731131076812740	0.020655443891882900
0.6834158301353460	0.021152038127183900
0.693228006362915	0.021416066214442300
0.7035307884216310	0.021448295563459400
0.7133429050445560	0.021284809336066200
0.7236456871032720	0.020993931218981700
0.7334577441215520	0.020613230764865900
0.7437605261802670	0.02014966309070590
0.7535727024078370	0.019643865525722500
0.7633848190307620	0.019118880853056900
0.7736876010894780	0.018580090254545200
0.7834997177124020	0.018032845109701200
0.7938024997711180	0.01749405451118950
0.8036146759986880	0.016959086060524000
0.8139173984527590	0.016431042924523400
0.8237295150756840	0.015904514119029000
0.8340322375297550	0.015392585657537000
0.8438444137573240	0.014882187359035000
0.8541471362113950	0.01437793392688040
0.8639593124389650	0.013879812322557000
0.8742620944976810	0.0133947329595685
0.8840742111206060	0.01291581429541110
0.8943769931793210	0.01244224701076750
0.9041890501976010	0.011974826455116300
0.9144918322563170	0.01151969749480490
0.9243040084838870	0.011073383502662200
0.9346067309379580	0.010632450692355600
0.9444189071655270	0.010203015990555300
0.9547216296195980	0.009779727086424830
0.964533805847168	0.009365657344460490
0.9748365879058840	0.00896232109516859
0.9846487045288090	0.008563991636037830
0.9949514269828800	0.008176006376743320
1.0047636032104500	0.007798393722623590
1.014575719833370	0.007426147814840080
1.0243878364563000	0.007065789774060250
1.0351812839508100	0.006711577530950310
1.0449934005737300	0.0063642761670053000
1.0548055171966600	0.00602734787389636
1.06461763381958	0.005701153073459860
1.075411081314090	0.005379935260862110
1.0852231979370100	0.005066032521426680
1.0950353145599400	0.004761319607496260
1.1048475503921500	0.004462752491235730
1.1156408786773700	0.004171485546976330
1.1254528760910000	0.0038882687222212600
1.1352651119232200	0.0036127271596342300
1.1450772285461400	0.0033410380128771100
1.1558705568313600	0.0030789279844611900
1.1656826734542800	0.0028233386110514400
1.175494909286500	0.0025781230069696900
1.1853070259094200	0.0023384687956422600
1.1961003541946400	0.002101497957482930
1.2059125900268600	0.0018752601463347700
1.2157247066497800	0.0016536395996809000
1.225536823272710	0.0014368160627782300
1.2363301515579200	0.001226903055794540
1.2461423873901400	0.0010215922957286200
1.2559545040130600	0.0008224275661632420
1.2657666206359900	0.0006286295247264210
1.2755788564682000	0.00044078269274905300
1.286372184753420	0.0002598315186332910
1.2961841821670500	8.40671127662063E-05
1.3059964179992700	-8.99584047147073E-05
1.3158085346221900	-0.0002572831290308390
1.3266018629074100	-0.0004180719843134280
1.3364139795303300	-0.0005756078753620390
1.3462262153625500	-0.00072872155578807
1.3560383319854700	-0.0008755091694183650
1.366831660270690	-0.0010192387271672500
1.3766438961029100	-0.001159685431048270
1.38645601272583	-0.0012951551470905500
1.3962681293487500	-0.0014262027107179200
1.4070615768432600	-0.0015542821492999800
1.4168736934661900	-0.0016773847164586200
1.4266858100891100	-0.0017971143824979700
1.4364979267120400	-0.0019139657961204600
1.447291374206540	-0.0020264999475330100
1.4571034908294700	-0.00213471706956625
1.466915488243100	-0.0022408352233469500
1.4767277240753200	-0.0023441652301698900
1.4875210523605300	-0.002443552715703850
