3	Time/s	Displacement/mm	Force/kN	Tensile strain (Strain 1)/%	Tensile displacement/mm	Strain 1/%
	0.0000	0.0000	0.0319	0.0000	0.0000	0.0000
	0.0200	0.0002	0.0320	0.0000	0.0000	0.0000
	0.0400	0.0011	0.0336	0.0001	0.0000	0.0001
	0.0600	0.0026	0.0389	0.0004	0.0002	0.0004
	0.0800	0.0042	0.0485	0.0009	0.0004	0.0009
	0.1000	0.0060	0.0595	0.0014	0.0007	0.0014
	0.1200	0.0077	0.0708	0.0020	0.0010	0.0020
	0.1400	0.0093	0.0821	0.0026	0.0013	0.0026
	0.1600	0.0109	0.0928	0.0031	0.0015	0.0031
	0.1800	0.0125	0.1033	0.0036	0.0018	0.0036
	0.2000	0.0141	0.1137	0.0042	0.0021	0.0042
	0.2200	0.0158	0.1248	0.0047	0.0024	0.0047
	0.2400	0.0175	0.1366	0.0053	0.0027	0.0053
	0.2600	0.0193	0.1484	0.0060	0.0030	0.0060
	0.2800	0.0211	0.1608	0.0067	0.0033	0.0067
	0.3000	0.0227	0.1738	0.0073	0.0037	0.0073
	0.3200	0.0243	0.1859	0.0080	0.0040	0.0080
	0.3400	0.0260	0.1979	0.0086	0.0043	0.0086
	0.3600	0.0276	0.2104	0.0093	0.0047	0.0093
	0.3800	0.0293	0.2230	0.0100	0.0050	0.0100
	0.4000	0.0310	0.2362	0.0108	0.0054	0.0108
	0.4200	0.0325	0.2492	0.0115	0.0057	0.0115
	0.4400	0.0343	0.2620	0.0122	0.0061	0.0122
	0.4600	0.0360	0.2756	0.0129	0.0065	0.0129
	0.4800	0.0377	0.2893	0.0137	0.0069	0.0137
	0.5000	0.0394	0.3031	0.0145	0.0072	0.0145
	0.5200	0.0410	0.3168	0.0152	0.0076	0.0152
	0.5400	0.0426	0.3302	0.0160	0.0080	0.0160
	0.5600	0.0443	0.3434	0.0167	0.0084	0.0167
	0.5800	0.0458	0.3564	0.0175	0.0087	0.0175
	0.6000	0.0474	0.3688	0.0182	0.0091	0.0182
	0.6200	0.0493	0.3822	0.0190	0.0095	0.0190
	0.6400	0.0510	0.3969	0.0198	0.0099	0.0198
	0.6600	0.0527	0.4114	0.0206	0.0103	0.0206
	0.6800	0.0544	0.4253	0.0214	0.0107	0.0214
	0.7000	0.0559	0.4386	0.0222	0.0111	0.0222
	0.7200	0.0575	0.4515	0.0229	0.0114	0.0229
	0.7400	0.0591	0.4644	0.0236	0.0118	0.0236
