Radial Modelled (mm)	 Height Modelled (mm)
0.0	-0.18843737244606000
0.010110491886735000	-0.18830229341983800
0.020220983773469900	-0.18808123469352700
0.03032376430928710	-0.18792158365249600
0.04044196754693990	-0.18755318224430100
0.050529323518276200	-0.18709881603717800
0.06064752861857410	-0.18655848503112800
0.07076573371887210	-0.18587079644203200
0.0808839350938797	-0.18513397872448000
0.09100213646888730	-0.18424980342388200
0.10105864703655200	-0.1832612305879590
0.11117684841156000	-0.1822603940963750
0.12129505723714800	-0.18113674223423000
0.1314132660627370	-0.17982889711856800
0.14153146743774400	-0.17845964431762700
0.15164966881275200	-0.17701056599617000
0.1617678701877590	-0.1754448413848880
0.17188607156276700	-0.17376857995986900
0.18200427293777500	-0.17204934358596800
0.19199907779693600	-0.17021344602108000
0.20211729407310500	-0.16823017597198500
0.2122354954481130	-0.16613639891147600
0.22235369682312000	-0.1639750599861150
0.23247191309928900	-0.1616663783788680
0.24259011447429700	-0.15925943851470900
0.2527083158493040	-0.15682794153690300
0.262826532125473	-0.15427978336811100
0.27294474840164200	-0.1516333818435670
0.2830629348754880	-0.14887645840644800
0.2931811511516570	-0.14602744579315200
0.30329933762550400	-0.14306175708770800
0.31341752409935	-0.13997940719127700
0.3235357403755190	-0.1367865353822710
0.3336539566516880	-0.1335107684135440
0.34377214312553400	-0.13007843494415300
0.3538903594017030	-0.1265632063150410
0.3640085458755490	-0.12294052541256000
0.37412676215171800	-0.11915206164121600
0.38399815559387200	-0.11520702391862900
0.3941163718700410	-0.11128655076026900
0.4042345881462100	-0.10721256583929100
0.41435277462005600	-0.10297894477844200
0.424470990896225	-0.09864093363285070
0.4345892071723940	-0.09422003477811810
0.44470739364624000	-0.0896548479795456
0.45482560992240900	-0.08485326170921330
0.4649438261985780	-0.08012228459119800
0.4750620126724240	-0.07522552460432050
0.48518022894859300	-0.07012306898832320
0.49529844522476200	-0.06488552689552310
0.5054166316986080	-0.059595800936222100
0.5152880549430850	-0.054035916924476600
0.525653064250946	-0.04831024259328840
0.5355244874954220	-0.042747270315885500
0.5458894968032840	-0.03697861358523370
0.5557608604431150	-0.031009625643491700
0.5661258697509770	-0.024833422154188200
0.5759972333908080	-0.019361024722456900
0.5863623023033140	-0.014911718666553500
0.5962336659431460	-0.011891269125044300
0.6065986752510070	-0.010247193276882200
0.6164700984954830	-0.008927048183977600
0.6268350481987	-0.007757589221000670
0.6367064714431760	-0.006729431450366970
0.6470714807510380	-0.005846726708114150
0.6569429039955140	-0.005099971313029530
0.6673079133033750	-0.004447971470654010
0.6771793365478520	-0.003882452379912140
0.6875442862510680	-0.0033880784176290000
0.6974157094955440	-0.0029552108608186200
0.7077807188034060	-0.0025653811171650900
0.7176521420478820	-0.00221217330545187
0.7280170917510990	-0.001897026551887390
0.7378885746002200	-0.001613464904949070
0.7482535243034360	-0.0013534234603866900
0.7581249475479130	-0.0011180415749549900
0.7679963111877440	-0.0009079487645067280
0.7783613801002500	-0.0007154848426580430
0.7882327437400820	-0.0005455667851492760
0.7985978126525880	-0.00039024947909638300
0.8084691762924190	-0.00025110700516961500
0.8188341856002810	-0.00012703008542303000
0.8287055492401120	-1.95477023225976E-05
0.8390705585479740	7.70964979892597E-05
0.84894198179245	0.00016176322242245100
0.8593069911003110	0.00023403276281897000
0.8691784143447880	0.0002966333704534920
0.8795433640480040	0.00034892046824097600
0.8894147872924810	0.0003928278456442060
0.8997797966003420	0.0004282655718270690
0.9096512198448180	0.00045542846783064300
0.9200162291526790	0.00047544087283313300
0.9298876523971560	0.000488512683659792
0.9402526021003720	0.0004957830533385280
0.9501240253448490	0.000496397668030113
0.96048903465271	0.0004920804058201610
0.9703604578971860	0.00048329593846574400
0.9807254672050480	0.0004694146628025920
0.9905968904495240	0.00045138102723285600
1.0009617805481000	0.0004287302726879720
1.0108332633972200	0.00040233187610283500
1.020704746246340	0.0003738797677215190
1.0305761098861700	0.0003417849657125770
1.041434645652770	0.00030463834991678600
1.051306128501890	0.0002663224586285650
1.0611774921417200	0.00022445378999691500
1.0710489749908400	0.00018191055278293800
1.0819075107574500	0.00013644415594171700
1.0917789936065700	8.8654225692153E-05
1.101650357246400	3.91553658118937E-05
1.1115217208862300	-1.2741983482556E-05
1.1223803758621200	-6.4594358264003E-05
1.1322517395019500	-0.00011930993787245800
1.1421231031417800	-0.00017458017100580000
1.1519944667816200	-0.00023125950247049300
1.1628531217575100	-0.00028907813248224600
1.1727246046066300	-0.0003473914403002710
1.1825958490371700	-0.00040720379911363100
1.1924673318862900	-0.0004678106924984600
1.2033259868621800	-0.0005281926714815200
1.2131973505020100	-0.0005889195017516610
1.2230687141418500	-0.0006502158939838410
1.2329401969909700	-0.0007135810446925460
1.243798851966860	-0.0007763465400785210
1.2536700963974	-0.0008378978236578410
1.263541579246520	-0.0009003485320135950
1.2734129428863500	-0.000963204016443342
1.2832844257354700	-0.001026479178108280
1.2941429615020800	-0.001090174075216060
1.3040143251419100	-0.0011529995827004300
1.3138858079910300	-0.0012159299803897700
1.323757290840150	-0.0012785156723111900
1.3346158266067500	-0.0013414759887382400
1.344487190246580	-0.00140425655990839
1.3543586730957000	-0.0014651782112196100
1.3642300367355300	-0.0015274190809577700
1.3750885725021400	-0.001589240157045420
1.3849600553512600	-0.0016501018544659000
1.3948314189910900	-0.001710738753899930
1.40470290184021	-0.0017712106928229300
1.4155614376068100	-0.001831817557103930
1.425432801246640	-0.00189150997903198
1.4353042840957600	-0.0019496734021231500
1.4451757669448900	-0.0020088262390345300
1.4560341835022000	-0.00206691469065845
