X_element,C_wt%,Cr_wt%,N_wt%,Ni_wt%,Mo_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%
Mo,0.01,27.0,0.05,10.0,4.0,58.94,41.0,550.3601115930959,5.532088,20,,
Mo,0.01,27.0,0.05,10.0,4.5,58.44,42.65,564.918552820253,5.732588,20,,
Mo,0.01,27.0,0.05,10.0,5.0,57.94,44.3,578.6882688930707,5.933088000000001,20,,
Mo,0.01,27.0,0.05,10.0,5.5,57.44,45.949999999999996,591.7850571825018,6.1335880000000005,20,,
Mo,0.01,27.0,0.05,10.0,6.0,56.94,47.599999999999994,604.2988807270772,6.334088,20,,
Mo,0.01,27.0,0.05,10.0,6.5,56.44,49.25,616.3012824086629,6.534588,20,,
Mo,0.01,27.0,0.05,10.0,7.0,55.94,50.89999999999999,627.8502689208467,6.735088000000001,20,,
Mo,0.01,27.0,0.05,10.0,7.5,55.44,52.55,638.9936460961956,6.935588,20,,
Mo,0.01,27.0,0.05,10.0,8.0,54.94,54.199999999999996,649.7713665626387,7.136088000000001,20,,
Mo,0.01,27.0,0.05,10.0,8.5,54.44,55.849999999999994,660.217225283814,7.336588000000001,20,,
Mo,0.01,27.0,0.05,10.0,9.0,53.94,57.5,670.3601115930959,7.537088000000001,20,,
Mo,0.01,27.0,0.05,10.0,9.5,53.44,59.14999999999999,680.2249517712344,7.737588000000001,20,,
Mo,0.01,27.0,0.05,10.0,10.0,52.94,60.8,689.8334308133014,7.9380880000000005,20,,
Mo,0.01,27.0,0.05,10.5,0.0,62.44,27.8,311.9219653738069,3.9975880000000004,20,,
Mo,0.01,27.0,0.05,10.5,0.5,61.94,29.45,396.77477911619263,4.198088,20,,
Mo,0.01,27.0,0.05,10.5,1.0,61.44,31.1,431.9219653738069,4.398588,20,,
Mo,0.01,27.0,0.05,10.5,1.5,60.94,32.75,458.89134994079757,4.599088,20,,
Mo,0.01,27.0,0.05,10.5,2.0,60.44,34.4,481.62759285857834,4.799588,20,,
Mo,0.01,27.0,0.05,10.5,2.5,59.94,36.05,501.6586249839097,5.000088000000001,20,,
Mo,0.01,27.0,0.05,10.5,3.0,59.44,37.699999999999996,519.7680622820722,5.200588000000001,20,,
Mo,0.01,27.0,0.05,10.5,3.5,58.94,39.349999999999994,536.4214085802435,5.4010880000000006,20,,
Mo,0.01,27.0,0.05,10.5,4.0,58.44,41.0,551.9219653738069,5.6015880000000005,20,,
Mo,0.01,27.0,0.05,10.5,4.5,57.94,42.65,566.480406600964,5.802088,20,,
Mo,0.01,27.0,0.05,10.5,5.0,57.44,44.3,580.2501226737818,6.002588000000001,20,,
Mo,0.01,27.0,0.05,10.5,5.5,56.94,45.949999999999996,593.3469109632127,6.203088000000001,20,,
Mo,0.01,27.0,0.05,10.5,6.0,56.44,47.599999999999994,605.8607345077883,6.403588000000001,20,,
Mo,0.01,27.0,0.05,10.5,6.5,55.94,49.25,617.863136189374,6.604088000000001,20,,
Mo,0.01,27.0,0.05,10.5,7.0,55.44,50.89999999999999,629.4121227015578,6.804588000000001,20,,
Mo,0.01,27.0,0.05,10.5,7.5,54.94,52.55,640.5554998769067,7.005088000000001,20,,
Mo,0.01,27.0,0.05,10.5,8.0,54.44,54.199999999999996,651.3332203433497,7.2055880000000005,20,,
Mo,0.01,27.0,0.05,10.5,8.5,53.94,55.849999999999994,661.7790790645249,7.4060880000000004,20,,
Mo,0.01,27.0,0.05,10.5,9.0,53.44,57.5,671.9219653738069,7.606588,20,,
Mo,0.01,27.0,0.05,10.5,9.5,52.94,59.14999999999999,681.7868055519455,7.807088,20,,
Mo,0.01,27.0,0.05,10.5,10.0,52.44,60.8,691.3952845940125,8.007588000000002,20,,
Mo,0.01,27.0,0.1,9.5,0.0,63.39,28.6,325.43047270745274,3.8586630000000004,20,,
Mo,0.01,27.0,0.1,9.5,0.5,62.89,30.25,410.28328644983844,4.059163000000001,20,,
Mo,0.01,27.0,0.1,9.5,1.0,62.39,31.900000000000002,445.43047270745274,4.259663000000001,20,,
Mo,0.01,27.0,0.1,9.5,1.5,61.89,33.55,472.39985727444343,4.4601630000000005,20,,
Mo,0.01,27.0,0.1,9.5,2.0,61.39,35.2,495.13610019222415,4.6606630000000004,20,,
Mo,0.01,27.0,0.1,9.5,2.5,60.89,36.85,515.1671323175556,4.861163,20,,
Mo,0.01,27.0,0.1,9.5,3.0,60.39,38.5,533.276569615718,5.061663,20,,
Mo,0.01,27.0,0.1,9.5,3.5,59.89,40.15,549.9299159138892,5.262163000000001,20,,
Mo,0.01,27.0,0.1,9.5,4.0,59.39,41.800000000000004,565.4304727074527,5.462663000000001,20,,
Mo,0.01,27.0,0.1,9.5,4.5,58.89,43.45,579.9889139346099,5.663163000000001,20,,
Mo,0.01,27.0,0.1,9.5,5.0,58.39,45.1,593.7586300074275,5.863663000000001,20,,
Mo,0.01,27.0,0.1,9.5,5.5,57.89,46.75,606.8554182968585,6.064163000000001,20,,
Mo,0.01,27.0,0.1,9.5,6.0,57.39,48.4,619.3692418414341,6.2646630000000005,20,,
Mo,0.01,27.0,0.1,9.5,6.5,56.89,50.050000000000004,631.3716435230199,6.465163,20,,
Mo,0.01,27.0,0.1,9.5,7.0,56.39,51.699999999999996,642.9206300352037,6.665663,20,,
Mo,0.01,27.0,0.1,9.5,7.5,55.89,53.35,654.0640072105524,6.866163,20,,
Mo,0.01,27.0,0.1,9.5,8.0,55.39,55.0,664.8417276769956,7.066663,20,,
Mo,0.01,27.0,0.1,9.5,8.5,54.89,56.65,675.2875863981708,7.267163000000001,20,,
Mo,0.01,27.0,0.1,9.5,9.0,54.39,58.300000000000004,685.4304727074527,7.467663,20,,
Mo,0.01,27.0,0.1,9.5,9.5,53.89,59.949999999999996,695.2953128855913,7.668163000000001,20,,
Mo,0.01,27.0,0.1,9.5,10.0,53.39,61.6,704.9037919276583,7.8686630000000015,20,,
Mo,0.01,27.0,0.1,10.0,0.0,62.89,28.6,327.03188588113056,3.9281630000000005,20,,
Mo,0.01,27.0,0.1,10.0,0.5,62.39,30.25,411.88469962351627,4.128663,20,,
Mo,0.01,27.0,0.1,10.0,1.0,61.89,31.900000000000002,447.03188588113056,4.329163,20,,
Mo,0.01,27.0,0.1,10.0,1.5,61.39,33.55,474.0012704481212,4.529663,20,,
Mo,0.01,27.0,0.1,10.0,2.0,60.89,35.2,496.737513365902,4.730163000000001,20,,
Mo,0.01,27.0,0.1,10.0,2.5,60.39,36.85,516.7685454912333,4.930663000000001,20,,
Mo,0.01,27.0,0.1,10.0,3.0,59.89,38.5,534.8779827893958,5.131163000000001,20,,
Mo,0.01,27.0,0.1,10.0,3.5,59.39,40.15,551.531329087567,5.331663000000001,20,,
Mo,0.01,27.0,0.1,10.0,4.0,58.89,41.800000000000004,567.0318858811306,5.532163000000001,20,,
Mo,0.01,27.0,0.1,10.0,4.5,58.39,43.45,581.5903271082876,5.7326630000000005,20,,
Mo,0.01,27.0,0.1,10.0,5.0,57.89,45.1,595.3600431811053,5.933163,20,,
Mo,0.01,27.0,0.1,10.0,5.5,57.39,46.75,608.4568314705364,6.133663,20,,
Mo,0.01,27.0,0.1,10.0,6.0,56.89,48.4,620.9706550151119,6.334163,20,,
Mo,0.01,27.0,0.1,10.0,6.5,56.39,50.050000000000004,632.9730566966977,6.534663,20,,
Mo,0.01,27.0,0.1,10.0,7.0,55.89,51.699999999999996,644.5220432088814,6.735163000000001,20,,
Mo,0.01,27.0,0.1,10.0,7.5,55.39,53.35,655.6654203842302,6.935663,20,,
Mo,0.01,27.0,0.1,10.0,8.0,54.89,55.0,666.4431408506734,7.136163000000001,20,,
Mo,0.01,27.0,0.1,10.0,8.5,54.39,56.65,676.8889995718487,7.3366630000000015,20,,
Mo,0.01,27.0,0.1,10.0,9.0,53.89,58.300000000000004,687.0318858811306,7.5371630000000005,20,,
Mo,0.01,27.0,0.1,10.0,9.5,53.39,59.949999999999996,696.8967260592691,7.737663000000001,20,,
Mo,0.01,27.0,0.1,10.0,10.0,52.89,61.6,706.5052051013361,7.938163000000001,20,,
Mo,0.01,27.0,0.1,10.5,0.0,62.39,28.6,328.5937396618416,3.997663,20,,
Mo,0.01,27.0,0.1,10.5,0.5,61.89,30.25,413.4465534042273,4.198163,20,,
Mo,0.01,27.0,0.1,10.5,1.0,61.39,31.900000000000002,448.5937396618416,4.398663,20,,
Mo,0.01,27.0,0.1,10.5,1.5,60.89,33.55,475.5631242288323,4.599163,20,,
Mo,0.01,27.0,0.1,10.5,2.0,60.39,35.2,498.299367146613,4.799663000000001,20,,
Mo,0.01,27.0,0.1,10.5,2.5,59.89,36.85,518.3303992719443,5.000163000000001,20,,
Mo,0.01,27.0,0.1,10.5,3.0,59.39,38.5,536.4398365701069,5.2006630000000005,20,,
Mo,0.01,27.0,0.1,10.5,3.5,58.89,40.15,553.0931828682781,5.401163,20,,
Mo,0.01,27.0,0.1,10.5,4.0,58.39,41.800000000000004,568.5937396618416,5.601663,20,,
Mo,0.01,27.0,0.1,10.5,4.5,57.89,43.45,583.1521808889987,5.802163,20,,
Mo,0.01,27.0,0.1,10.5,5.0,57.39,45.1,596.9218969618164,6.002663,20,,
Mo,0.01,27.0,0.1,10.5,5.5,56.89,46.75,610.0186852512475,6.203163,20,,
Mo,0.01,27.0,0.1,10.5,6.0,56.39,48.4,622.5325087958229,6.403663,20,,
Mo,0.01,27.0,0.1,10.5,6.5,55.89,50.050000000000004,634.5349104774086,6.604163,20,,
Mo,0.01,27.0,0.1,10.5,7.0,55.39,51.699999999999996,646.0838969895924,6.804663000000001,20,,
Mo,0.01,27.0,0.1,10.5,7.5,54.89,53.35,657.2272741649413,7.005163,20,,
Mo,0.01,27.0,0.1,10.5,8.0,54.39,55.0,668.0049946313844,7.205663,20,,
Mo,0.01,27.0,0.1,10.5,8.5,53.89,56.65,678.4508533525596,7.406163000000001,20,,
Mo,0.01,27.0,0.1,10.5,9.0,53.39,58.300000000000004,688.5937396618416,7.606663,20,,
Mo,0.01,27.0,0.1,10.5,9.5,52.89,59.949999999999996,698.4585798399801,7.807163000000001,20,,
Mo,0.01,27.0,0.1,10.5,10.0,52.39,61.6,708.0670588820471,8.007663,20,,
Mo,0.01,27.0,0.15,9.5,0.0,63.34,29.4,338.2231750561554,3.8587380000000002,20,,
Mo,0.01,27.0,0.15,9.5,0.5,62.84,31.049999999999997,423.0759887985411,4.059238000000001,20,,
Mo,0.01,27.0,0.15,9.5,1.0,62.34,32.7,458.2231750561554,4.2597380000000005,20,,
Mo,0.01,27.0,0.15,9.5,1.5,61.84,34.35,485.19255962314605,4.460238,20,,
Mo,0.01,27.0,0.15,9.5,2.0,61.34,36.0,507.9288025409268,4.660738,20,,
Mo,0.01,27.0,0.15,9.5,2.5,60.84,37.65,527.9598346662582,4.861238,20,,
Mo,0.01,27.0,0.15,9.5,3.0,60.34,39.3,546.0692719644206,5.061738,20,,
Mo,0.01,27.0,0.15,9.5,3.5,59.84,40.949999999999996,562.7226182625918,5.262238,20,,
Mo,0.01,27.0,0.15,9.5,4.0,59.34,42.6,578.2231750561555,5.462738,20,,
Mo,0.01,27.0,0.15,9.5,4.5,58.84,44.25,592.7816162833125,5.663238,20,,
Mo,0.01,27.0,0.15,9.5,5.0,58.34,45.9,606.5513323561302,5.863738000000001,20,,
Mo,0.01,27.0,0.15,9.5,5.5,57.84,47.55,619.6481206455612,6.0642380000000005,20,,
Mo,0.01,27.0,0.15,9.5,6.0,57.34,49.199999999999996,632.1619441901368,6.264738,20,,
Mo,0.01,27.0,0.15,9.5,6.5,56.84,50.85,644.1643458717225,6.465238,20,,
Mo,0.01,27.0,0.15,9.5,7.0,56.34,52.49999999999999,655.7133323839063,6.665738000000001,20,,
Mo,0.01,27.0,0.15,9.5,7.5,55.84,54.15,666.856709559255,6.866238,20,,
Mo,0.01,27.0,0.15,9.5,8.0,55.34,55.8,677.6344300256983,7.066738000000001,20,,
Mo,0.01,27.0,0.15,9.5,8.5,54.84,57.449999999999996,688.0802887468735,7.267238000000001,20,,
Mo,0.01,27.0,0.15,9.5,9.0,54.34,59.1,698.2231750561555,7.467738000000001,20,,
Mo,0.01,27.0,0.15,9.5,9.5,53.84,60.74999999999999,708.088015234294,7.6682380000000006,20,,
Mo,0.01,27.0,0.15,9.5,10.0,53.34,62.4,717.6964942763609,7.8687380000000005,20,,
Mo,0.01,27.0,0.15,10.0,0.0,62.84,29.4,339.82458822983324,3.9282380000000003,20,,
Mo,0.01,27.0,0.15,10.0,0.5,62.34,31.049999999999997,424.67740197221895,4.128738,20,,
Mo,0.01,27.0,0.15,10.0,1.0,61.84,32.7,459.82458822983324,4.329238,20,,
Mo,0.01,27.0,0.15,10.0,1.5,61.34,34.35,486.79397279682394,4.529738,20,,
Mo,0.01,27.0,0.15,10.0,2.0,60.84,36.0,509.53021571460465,4.730238,20,,
Mo,0.01,27.0,0.15,10.0,2.5,60.34,37.65,529.561247839936,4.930738000000001,20,,
Mo,0.01,27.0,0.15,10.0,3.0,59.84,39.3,547.6706851380985,5.131238000000001,20,,
Mo,0.01,27.0,0.15,10.0,3.5,59.34,40.949999999999996,564.3240314362697,5.3317380000000005,20,,
Mo,0.01,27.0,0.15,10.0,4.0,58.84,42.6,579.8245882298332,5.532238,20,,
Mo,0.01,27.0,0.15,10.0,4.5,58.34,44.25,594.3830294569904,5.732738,20,,
Mo,0.01,27.0,0.15,10.0,5.0,57.84,45.9,608.152745529808,5.933238000000001,20,,
Mo,0.01,27.0,0.15,10.0,5.5,57.34,47.55,621.2495338192391,6.133738000000001,20,,
Mo,0.01,27.0,0.15,10.0,6.0,56.84,49.199999999999996,633.7633573638145,6.334238000000001,20,,
Mo,0.01,27.0,0.15,10.0,6.5,56.34,50.85,645.7657590454003,6.534738000000001,20,,
Mo,0.01,27.0,0.15,10.0,7.0,55.84,52.49999999999999,657.314745557584,6.735238000000001,20,,
Mo,0.01,27.0,0.15,10.0,7.5,55.34,54.15,668.4581227329329,6.935738000000001,20,,
Mo,0.01,27.0,0.15,10.0,8.0,54.84,55.8,679.2358431993761,7.1362380000000005,20,,
Mo,0.01,27.0,0.15,10.0,8.5,54.34,57.449999999999996,689.6817019205513,7.336738,20,,
Mo,0.01,27.0,0.15,10.0,9.0,53.84,59.1,699.8245882298332,7.537238,20,,
Mo,0.01,27.0,0.15,10.0,9.5,53.34,60.74999999999999,709.6894284079717,7.737738,20,,
Mo,0.01,27.0,0.15,10.0,10.0,52.84,62.4,719.2979074500388,7.938238000000001,20,,
Mo,0.01,27.0,0.15,10.5,0.0,62.34,29.4,341.3864420105442,3.997738,20,,
Mo,0.01,27.0,0.15,10.5,0.5,61.84,31.049999999999997,426.2392557529299,4.198238,20,,
Mo,0.01,27.0,0.15,10.5,1.0,61.34,32.7,461.3864420105442,4.398738,20,,
Mo,0.01,27.0,0.15,10.5,1.5,60.84,34.35,488.3558265775349,4.599238,20,,
Mo,0.01,27.0,0.15,10.5,2.0,60.34,36.0,511.0920694953156,4.799738,20,,
Mo,0.01,27.0,0.15,10.5,2.5,59.84,37.65,531.123101620647,5.000238,20,,
Mo,0.01,27.0,0.15,10.5,3.0,59.34,39.3,549.2325389188095,5.200738,20,,
Mo,0.01,27.0,0.15,10.5,3.5,58.84,40.949999999999996,565.8858852169807,5.401238,20,,
Mo,0.01,27.0,0.15,10.5,4.0,58.34,42.6,581.3864420105442,5.601738,20,,
Mo,0.01,27.0,0.15,10.5,4.5,57.84,44.25,595.9448832377013,5.802238,20,,
Mo,0.01,27.0,0.15,10.5,5.0,57.34,45.9,609.714599310519,6.002738000000001,20,,
Mo,0.01,27.0,0.15,10.5,5.5,56.84,47.55,622.81138759995,6.203238000000001,20,,
Mo,0.01,27.0,0.15,10.5,6.0,56.34,49.199999999999996,635.3252111445256,6.403738000000001,20,,
Mo,0.01,27.0,0.15,10.5,6.5,55.84,50.85,647.3276128261114,6.6042380000000005,20,,
Mo,0.01,27.0,0.15,10.5,7.0,55.34,52.49999999999999,658.8765993382951,6.804738,20,,
Mo,0.01,27.0,0.15,10.5,7.5,54.84,54.15,670.0199765136439,7.005238,20,,
Mo,0.01,27.0,0.15,10.5,8.0,54.34,55.8,680.797696980087,7.205738,20,,
Mo,0.01,27.0,0.15,10.5,8.5,53.84,57.449999999999996,691.2435557012623,7.406238,20,,
Mo,0.01,27.0,0.15,10.5,9.0,53.34,59.1,701.3864420105442,7.606738,20,,
Mo,0.01,27.0,0.15,10.5,9.5,52.84,60.74999999999999,711.2512821886828,7.807238,20,,
Mo,0.01,27.0,0.15,10.5,10.0,52.34,62.4,720.8597612307498,8.007738,20,,
Mo,0.01,27.5,0.0,9.5,0.0,62.989999999999995,27.5,270.1856884594663,3.9055130000000005,20,,
Mo,0.01,27.5,0.0,9.5,0.5,62.489999999999995,29.15,355.038502201852,4.106013000000001,20,,
Mo,0.01,27.5,0.0,9.5,1.0,61.989999999999995,30.8,390.1856884594663,4.306513000000001,20,,
Mo,0.01,27.5,0.0,9.5,1.5,61.489999999999995,32.45,417.155073026457,4.507013000000001,20,,
Mo,0.01,27.5,0.0,9.5,2.0,60.989999999999995,34.1,439.8913159442377,4.7075130000000005,20,,
