X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%,Score
Mn,0.9,29.0,0.15,10.0,,49.95,64.4,953.8955537184846,6.917395000000001,20,10.0,,73.93895553718485
Mn,0.9,29.0,0.1,10.0,,50.0,63.6,941.1028513697819,6.91732,20,10.0,,73.01102851369782
Mn,0.9,29.0,0.05,10.0,,50.05,62.8,924.4310770817473,6.917245,20,10.0,,72.04431077081748
Mn,0.9,29.0,0.0,10.0,,50.1,62.0,884.181853486751,6.9171700000000005,20,10.0,,70.84181853486751
