X_element,C_wt%,Cr_wt%,N_wt%,Mn_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mo_wt%,Si_wt%
Ni,0.01,27.0,0.05,10.0,3.5,59.44,27.8,363.58807376167726,3.204588,20,,
Ni,0.01,27.0,0.05,10.0,4.0,58.94,27.8,366.17149989393783,3.2740880000000003,20,,
Ni,0.01,27.0,0.05,10.0,4.5,58.44,27.8,368.5979067651307,3.3435880000000004,20,,
Ni,0.01,27.0,0.05,10.0,5.0,57.94,27.8,370.8928594439336,3.413088,20,,
Ni,0.01,27.0,0.05,10.0,5.5,57.44,27.8,373.0756574921721,3.4825880000000002,20,,
Ni,0.01,27.0,0.05,10.0,6.0,56.94,27.8,375.1612947496014,3.5520880000000004,20,,
Ni,0.01,27.0,0.05,10.0,6.5,56.44,27.8,377.16169502986565,3.6215880000000005,20,,
Ni,0.01,27.0,0.05,10.0,7.0,55.94,27.8,379.0865261152296,3.6910880000000006,20,,
Ni,0.01,27.0,0.05,10.0,7.5,55.44,27.8,380.9437556444544,3.7605880000000003,20,,
Ni,0.01,27.0,0.05,10.0,8.0,54.94,27.8,382.74004238886164,3.8300880000000004,20,,
Ni,0.01,27.0,0.05,10.0,8.5,54.44,27.8,384.4810188423908,3.8995880000000005,20,,
Ni,0.01,27.0,0.05,10.0,9.0,53.94,27.8,386.17149989393783,3.969088,20,,
Ni,0.01,27.0,0.05,10.0,9.5,53.44,27.8,387.8156399236276,4.038588000000001,20,,
Ni,0.01,27.0,0.05,10.0,10.0,52.94,27.8,389.4170530973054,4.108088,20,,
Ni,0.01,27.0,0.05,10.5,0.0,62.44,27.8,328.1238171198266,2.727088,20,,
Ni,0.01,27.0,0.05,10.5,0.5,61.94,27.8,342.26595274355753,2.7965880000000003,20,,
Ni,0.01,27.0,0.05,10.5,1.0,61.44,27.8,348.1238171198266,2.8660880000000004,20,,
Ni,0.01,27.0,0.05,10.5,1.5,60.94,27.8,352.6187145476584,2.935588,20,,
Ni,0.01,27.0,0.05,10.5,2.0,60.44,27.8,356.4080883672885,3.005088,20,,
Ni,0.01,27.0,0.05,10.5,2.5,59.94,27.8,359.7465937215104,3.0745880000000003,20,,
Ni,0.01,27.0,0.05,10.5,3.0,59.44,27.8,362.7648332712041,3.144088,20,,
Ni,0.01,27.0,0.05,10.5,3.5,58.94,27.8,365.540390987566,3.213588,20,,
Ni,0.01,27.0,0.05,10.5,4.0,58.44,27.8,368.1238171198266,3.2830880000000002,20,,
Ni,0.01,27.0,0.05,10.5,4.5,57.94,27.8,370.55022399101944,3.352588,20,,
Ni,0.01,27.0,0.05,10.5,5.0,57.44,27.8,372.84517666982237,3.4220880000000005,20,,
Ni,0.01,27.0,0.05,10.5,5.5,56.94,27.8,375.0279747180609,3.491588,20,,
Ni,0.01,27.0,0.05,10.5,6.0,56.44,27.8,377.11361197549013,3.5610880000000003,20,,
Ni,0.01,27.0,0.05,10.5,6.5,55.94,27.8,379.11401225575446,3.6305880000000004,20,,
Ni,0.01,27.0,0.05,10.5,7.0,55.44,27.8,381.0388433411184,3.700088,20,,
Ni,0.01,27.0,0.05,10.5,7.5,54.94,27.8,382.8960728703432,3.769588,20,,
Ni,0.01,27.0,0.05,10.5,8.0,54.44,27.8,384.6923596147504,3.8390880000000003,20,,
Ni,0.01,27.0,0.05,10.5,8.5,53.94,27.8,386.4333360682796,3.9085880000000004,20,,
Ni,0.01,27.0,0.05,10.5,9.0,53.44,27.8,388.1238171198266,3.978088,20,,
Ni,0.01,27.0,0.05,10.5,9.5,52.94,27.8,389.76795714951635,4.047588,20,,
Ni,0.01,27.0,0.05,10.5,10.0,52.44,27.8,391.3693703231942,4.117088000000001,20,,
Ni,0.01,27.0,0.1,9.5,0.0,63.39,28.6,340.8415077148752,2.709163,20,,
Ni,0.01,27.0,0.1,9.5,0.5,62.89,28.6,354.98364333860616,2.7786630000000003,20,,
Ni,0.01,27.0,0.1,9.5,1.0,62.39,28.6,360.8415077148752,2.8481630000000004,20,,
Ni,0.01,27.0,0.1,9.5,1.5,61.89,28.6,365.336405142707,2.917663,20,,
Ni,0.01,27.0,0.1,9.5,2.0,61.39,28.6,369.1257789623371,2.9871630000000002,20,,
Ni,0.01,27.0,0.1,9.5,2.5,60.89,28.6,372.464284316559,3.0566630000000004,20,,
Ni,0.01,27.0,0.1,9.5,3.0,60.39,28.6,375.48252386625273,3.126163,20,,
Ni,0.01,27.0,0.1,9.5,3.5,59.89,28.6,378.25808158261464,3.195663,20,,
Ni,0.01,27.0,0.1,9.5,4.0,59.39,28.6,380.8415077148752,3.2651630000000003,20,,
Ni,0.01,27.0,0.1,9.5,4.5,58.89,28.6,383.26791458606806,3.334663,20,,
Ni,0.01,27.0,0.1,9.5,5.0,58.39,28.6,385.562867264871,3.4041630000000005,20,,
Ni,0.01,27.0,0.1,9.5,5.5,57.89,28.6,387.7456653131095,3.473663,20,,
Ni,0.01,27.0,0.1,9.5,6.0,57.39,28.6,389.83130257053875,3.5431630000000003,20,,
Ni,0.01,27.0,0.1,9.5,6.5,56.89,28.6,391.831702850803,3.6126630000000004,20,,
Ni,0.01,27.0,0.1,9.5,7.0,56.39,28.6,393.756533936167,3.682163,20,,
Ni,0.01,27.0,0.1,9.5,7.5,55.89,28.6,395.6137634653918,3.751663,20,,
Ni,0.01,27.0,0.1,9.5,8.0,55.39,28.6,397.410050209799,3.8211630000000003,20,,
Ni,0.01,27.0,0.1,9.5,8.5,54.89,28.6,399.1510266633282,3.8906630000000004,20,,
Ni,0.01,27.0,0.1,9.5,9.0,54.39,28.6,400.8415077148752,3.960163,20,,
Ni,0.01,27.0,0.1,9.5,9.5,53.89,28.6,402.485647744565,4.029663,20,,
Ni,0.01,27.0,0.1,9.5,10.0,53.39,28.6,404.0870609182428,4.099163000000001,20,,
Ni,0.01,27.0,0.1,10.0,0.0,62.89,28.6,342.84327418197245,2.7181630000000006,20,,
Ni,0.01,27.0,0.1,10.0,0.5,62.39,28.6,356.9854098057034,2.7876630000000007,20,,
Ni,0.01,27.0,0.1,10.0,1.0,61.89,28.6,362.84327418197245,2.857163000000001,20,,
Ni,0.01,27.0,0.1,10.0,1.5,61.39,28.6,367.33817160980425,2.9266630000000005,20,,
Ni,0.01,27.0,0.1,10.0,2.0,60.89,28.6,371.12754542943435,2.9961630000000006,20,,
Ni,0.01,27.0,0.1,10.0,2.5,60.39,28.6,374.4660507836562,3.0656630000000007,20,,
Ni,0.01,27.0,0.1,10.0,3.0,59.89,28.6,377.48429033335,3.1351630000000004,20,,
Ni,0.01,27.0,0.1,10.0,3.5,59.39,28.6,380.2598480497119,3.2046630000000005,20,,
Ni,0.01,27.0,0.1,10.0,4.0,58.89,28.6,382.84327418197245,3.2741630000000006,20,,
Ni,0.01,27.0,0.1,10.0,4.5,58.39,28.6,385.2696810531653,3.3436630000000003,20,,
Ni,0.01,27.0,0.1,10.0,5.0,57.89,28.6,387.56463373196823,3.413163000000001,20,,
Ni,0.01,27.0,0.1,10.0,5.5,57.39,28.6,389.74743178020674,3.4826630000000005,20,,
Ni,0.01,27.0,0.1,10.0,6.0,56.89,28.6,391.833069037636,3.5521630000000006,20,,
Ni,0.01,27.0,0.1,10.0,6.5,56.39,28.6,393.83346931790027,3.6216630000000007,20,,
Ni,0.01,27.0,0.1,10.0,7.0,55.89,28.6,395.75830040326423,3.6911630000000004,20,,
Ni,0.01,27.0,0.1,10.0,7.5,55.39,28.6,397.61552993248904,3.7606630000000005,20,,
Ni,0.01,27.0,0.1,10.0,8.0,54.89,28.6,399.41181667689625,3.8301630000000007,20,,
Ni,0.01,27.0,0.1,10.0,8.5,54.39,28.6,401.15279313042544,3.8996630000000008,20,,
Ni,0.01,27.0,0.1,10.0,9.0,53.89,28.6,402.84327418197245,3.9691630000000004,20,,
Ni,0.01,27.0,0.1,10.0,9.5,53.39,28.6,404.4874142116622,4.038663000000001,20,,
Ni,0.01,27.0,0.1,10.0,10.0,52.89,28.6,406.08882738534004,4.108163000000001,20,,
Ni,0.01,27.0,0.1,10.5,0.0,62.39,28.6,344.79559140786125,2.7271630000000004,20,,
Ni,0.01,27.0,0.1,10.5,0.5,61.89,28.6,358.9377270315922,2.7966630000000006,20,,
Ni,0.01,27.0,0.1,10.5,1.0,61.39,28.6,364.79559140786125,2.8661630000000002,20,,
Ni,0.01,27.0,0.1,10.5,1.5,60.89,28.6,369.29048883569305,2.9356630000000004,20,,
Ni,0.01,27.0,0.1,10.5,2.0,60.39,28.6,373.07986265532315,3.0051630000000005,20,,
Ni,0.01,27.0,0.1,10.5,2.5,59.89,28.6,376.418368009545,3.0746630000000006,20,,
Ni,0.01,27.0,0.1,10.5,3.0,59.39,28.6,379.4366075592388,3.1441630000000003,20,,
Ni,0.01,27.0,0.1,10.5,3.5,58.89,28.6,382.2121652756007,3.2136630000000004,20,,
Ni,0.01,27.0,0.1,10.5,4.0,58.39,28.6,384.79559140786125,3.2831630000000005,20,,
Ni,0.01,27.0,0.1,10.5,4.5,57.89,28.6,387.2219982790541,3.3526630000000006,20,,
Ni,0.01,27.0,0.1,10.5,5.0,57.39,28.6,389.51695095785703,3.4221630000000003,20,,
Ni,0.01,27.0,0.1,10.5,5.5,56.89,28.6,391.69974900609554,3.4916630000000004,20,,
Ni,0.01,27.0,0.1,10.5,6.0,56.39,28.6,393.7853862635248,3.5611630000000005,20,,
Ni,0.01,27.0,0.1,10.5,6.5,55.89,28.6,395.7857865437891,3.6306630000000006,20,,
Ni,0.01,27.0,0.1,10.5,7.0,55.39,28.6,397.71061762915303,3.7001630000000008,20,,
Ni,0.01,27.0,0.1,10.5,7.5,54.89,28.6,399.56784715837784,3.7696630000000004,20,,
Ni,0.01,27.0,0.1,10.5,8.0,54.39,28.6,401.36413390278506,3.8391630000000005,20,,
Ni,0.01,27.0,0.1,10.5,8.5,53.89,28.6,403.10511035631424,3.9086630000000007,20,,
Ni,0.01,27.0,0.1,10.5,9.0,53.39,28.6,404.79559140786125,3.9781630000000003,20,,
Ni,0.01,27.0,0.1,10.5,9.5,52.89,28.6,406.439731437551,4.047663,20,,
Ni,0.01,27.0,0.1,10.5,10.0,52.39,28.6,408.04114461122884,4.117163000000001,20,,
Ni,0.01,27.0,0.15,9.5,0.0,63.34,29.4,353.6342100635778,2.709238,20,,
Ni,0.01,27.0,0.15,9.5,0.5,62.84,29.4,367.7763456873088,2.778738,20,,
Ni,0.01,27.0,0.15,9.5,1.0,62.34,29.4,373.6342100635778,2.8482380000000003,20,,
Ni,0.01,27.0,0.15,9.5,1.5,61.84,29.4,378.1291074914096,2.917738,20,,
Ni,0.01,27.0,0.15,9.5,2.0,61.34,29.4,381.9184813110397,2.987238,20,,
Ni,0.01,27.0,0.15,9.5,2.5,60.84,29.4,385.2569866652616,3.056738,20,,
Ni,0.01,27.0,0.15,9.5,3.0,60.34,29.4,388.27522621495535,3.126238,20,,
Ni,0.01,27.0,0.15,9.5,3.5,59.84,29.4,391.05078393131726,3.195738,20,,
Ni,0.01,27.0,0.15,9.5,4.0,59.34,29.4,393.6342100635778,3.265238,20,,
Ni,0.01,27.0,0.15,9.5,4.5,58.84,29.4,396.0606169347707,3.3347379999999998,20,,
Ni,0.01,27.0,0.15,9.5,5.0,58.34,29.4,398.3555696135736,3.4042380000000003,20,,
Ni,0.01,27.0,0.15,9.5,5.5,57.84,29.4,400.5383676618121,3.473738,20,,
Ni,0.01,27.0,0.15,9.5,6.0,57.34,29.4,402.6240049192414,3.543238,20,,
Ni,0.01,27.0,0.15,9.5,6.5,56.84,29.4,404.62440519950565,3.6127380000000002,20,,
Ni,0.01,27.0,0.15,9.5,7.0,56.34,29.4,406.5492362848696,3.682238,20,,
Ni,0.01,27.0,0.15,9.5,7.5,55.84,29.4,408.4064658140944,3.751738,20,,
Ni,0.01,27.0,0.15,9.5,8.0,55.34,29.4,410.20275255850163,3.821238,20,,
Ni,0.01,27.0,0.15,9.5,8.5,54.84,29.4,411.9437290120308,3.8907380000000003,20,,
Ni,0.01,27.0,0.15,9.5,9.0,54.34,29.4,413.6342100635778,3.960238,20,,
Ni,0.01,27.0,0.15,9.5,9.5,53.84,29.4,415.2783500932676,4.029738,20,,
Ni,0.01,27.0,0.15,9.5,10.0,53.34,29.4,416.8797632669454,4.099238,20,,
Ni,0.01,27.0,0.15,10.0,0.0,62.84,29.4,355.6359765306751,2.7182380000000004,20,,
Ni,0.01,27.0,0.15,10.0,0.5,62.34,29.4,369.7781121544061,2.7877380000000005,20,,
Ni,0.01,27.0,0.15,10.0,1.0,61.84,29.4,375.6359765306751,2.8572380000000006,20,,
Ni,0.01,27.0,0.15,10.0,1.5,61.34,29.4,380.1308739585069,2.9267380000000003,20,,
Ni,0.01,27.0,0.15,10.0,2.0,60.84,29.4,383.920247778137,2.9962380000000004,20,,
Ni,0.01,27.0,0.15,10.0,2.5,60.34,29.4,387.25875313235895,3.0657380000000005,20,,
Ni,0.01,27.0,0.15,10.0,3.0,59.84,29.4,390.27699268205265,3.135238,20,,
Ni,0.01,27.0,0.15,10.0,3.5,59.34,29.4,393.05255039841455,3.2047380000000003,20,,
Ni,0.01,27.0,0.15,10.0,4.0,58.84,29.4,395.6359765306751,3.2742380000000004,20,,
Ni,0.01,27.0,0.15,10.0,4.5,58.34,29.4,398.062383401868,3.343738,20,,
Ni,0.01,27.0,0.15,10.0,5.0,57.84,29.4,400.3573360806709,3.4132380000000007,20,,
Ni,0.01,27.0,0.15,10.0,5.5,57.34,29.4,402.5401341289094,3.4827380000000003,20,,
Ni,0.01,27.0,0.15,10.0,6.0,56.84,29.4,404.62577138633867,3.5522380000000005,20,,
Ni,0.01,27.0,0.15,10.0,6.5,56.34,29.4,406.626171666603,3.6217380000000006,20,,
Ni,0.01,27.0,0.15,10.0,7.0,55.84,29.4,408.55100275196696,3.6912380000000002,20,,
Ni,0.01,27.0,0.15,10.0,7.5,55.34,29.4,410.4082322811917,3.7607380000000004,20,,
Ni,0.01,27.0,0.15,10.0,8.0,54.84,29.4,412.2045190255989,3.8302380000000005,20,,
Ni,0.01,27.0,0.15,10.0,8.5,54.34,29.4,413.9454954791281,3.8997380000000006,20,,
Ni,0.01,27.0,0.15,10.0,9.0,53.84,29.4,415.6359765306751,3.9692380000000003,20,,
Ni,0.01,27.0,0.15,10.0,9.5,53.34,29.4,417.2801165603649,4.038738,20,,
Ni,0.01,27.0,0.15,10.0,10.0,52.84,29.4,418.8815297340427,4.108238,20,,
Ni,0.01,27.0,0.15,10.5,0.0,62.34,29.4,357.58829375656387,2.7272380000000003,20,,
Ni,0.01,27.0,0.15,10.5,0.5,61.84,29.4,371.7304293802948,2.7967380000000004,20,,
Ni,0.01,27.0,0.15,10.5,1.0,61.34,29.4,377.58829375656387,2.866238,20,,
Ni,0.01,27.0,0.15,10.5,1.5,60.84,29.4,382.0831911843957,2.935738,20,,
Ni,0.01,27.0,0.15,10.5,2.0,60.34,29.4,385.8725650040258,3.0052380000000003,20,,
Ni,0.01,27.0,0.15,10.5,2.5,59.84,29.4,389.21107035824764,3.0747380000000004,20,,
Ni,0.01,27.0,0.15,10.5,3.0,59.34,29.4,392.2293099079414,3.144238,20,,
Ni,0.01,27.0,0.15,10.5,3.5,58.84,29.4,395.0048676243033,3.213738,20,,
Ni,0.01,27.0,0.15,10.5,4.0,58.34,29.4,397.58829375656387,3.2832380000000003,20,,
Ni,0.01,27.0,0.15,10.5,4.5,57.84,29.4,400.0147006277567,3.3527380000000004,20,,
Ni,0.01,27.0,0.15,10.5,5.0,57.34,29.4,402.30965330655965,3.422238,20,,
Ni,0.01,27.0,0.15,10.5,5.5,56.84,29.4,404.49245135479816,3.4917380000000002,20,,
Ni,0.01,27.0,0.15,10.5,6.0,56.34,29.4,406.5780886122274,3.5612380000000003,20,,
Ni,0.01,27.0,0.15,10.5,6.5,55.84,29.4,408.5784888924917,3.6307380000000005,20,,
Ni,0.01,27.0,0.15,10.5,7.0,55.34,29.4,410.50331997785565,3.7002380000000006,20,,
Ni,0.01,27.0,0.15,10.5,7.5,54.84,29.4,412.36054950708046,3.7697380000000003,20,,
Ni,0.01,27.0,0.15,10.5,8.0,54.34,29.4,414.1568362514877,3.8392380000000004,20,,
Ni,0.01,27.0,0.15,10.5,8.5,53.84,29.4,415.89781270501686,3.9087380000000005,20,,
Ni,0.01,27.0,0.15,10.5,9.0,53.34,29.4,417.58829375656387,3.978238,20,,
Ni,0.01,27.0,0.15,10.5,9.5,52.84,29.4,419.23243378625364,4.047738000000001,20,,
Ni,0.01,27.0,0.15,10.5,10.0,52.34,29.4,420.83384695993146,4.117238,20,,
Ni,0.01,27.5,0.0,9.5,0.0,62.989999999999995,27.5,285.59672346688876,2.7560130000000003,20,,
Ni,0.01,27.5,0.0,9.5,0.5,62.489999999999995,27.5,299.7388590906197,2.8255130000000004,20,,
Ni,0.01,27.5,0.0,9.5,1.0,61.989999999999995,27.5,305.59672346688876,2.8950130000000005,20,,
Ni,0.01,27.5,0.0,9.5,1.5,61.489999999999995,27.5,310.09162089472056,2.964513,20,,
Ni,0.01,27.5,0.0,9.5,2.0,60.989999999999995,27.5,313.88099471435066,3.0340130000000003,20,,
Ni,0.01,27.5,0.0,9.5,2.5,60.489999999999995,27.5,317.21950006857253,3.1035130000000004,20,,
Ni,0.01,27.5,0.0,9.5,3.0,59.989999999999995,27.5,320.2377396182663,3.173013,20,,
Ni,0.01,27.5,0.0,9.5,3.5,59.489999999999995,27.5,323.0132973346282,3.242513,20,,
