X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%,Score
Mn,1.0,29.0,0.0,9.5,,51.0,60.349999999999994,885.4007834649584,6.707800000000001,20,9.5,,69.20400783464957
Mn,0.9,29.0,0.0,9.5,,51.1,60.349999999999994,872.5716079775868,6.707670000000001,20,9.5,,69.07571607977586
Mn,0.8,29.0,0.0,9.5,,51.2,60.349999999999994,859.0075812149374,6.707540000000001,20,9.5,,68.94007581214937
Mn,0.7,29.0,0.0,9.5,,51.3,60.349999999999994,844.5657900984774,6.70741,20,9.5,,68.79565790098476
Mn,0.5,29.0,0.0,9.5,,51.5,60.349999999999994,812.1774787615954,6.70715,20,9.5,,68.47177478761594
Mn,0.3,29.0,0.0,9.5,,51.7,60.349999999999994,772.33142284125,6.7068900000000005,20,9.5,,68.0733142284125
Mn,0.1,29.0,0.0,9.5,,51.9,60.349999999999994,714.4577249691679,6.7066300000000005,20,9.5,,67.49457724969167
Mn,0.09,29.0,0.0,9.5,,51.91,60.349999999999994,710.4007834649584,6.7066170000000005,20,9.5,,67.45400783464957
Mn,0.08,29.0,0.0,9.5,,51.92,60.349999999999994,706.1114615836132,6.7066040000000005,20,9.5,,67.41111461583613
Mn,0.07,29.0,0.0,9.5,,51.93,60.349999999999994,701.5445662415732,6.706591,20,9.5,,67.36544566241572
Mn,0.06,29.0,0.0,9.5,,51.94,60.349999999999994,696.6380270345379,6.706578,20,9.5,,67.31638027034538
Mn,0.05,29.0,0.0,9.5,,51.95,60.349999999999994,691.3024829024531,6.706565,20,9.5,,67.26302482902453
Mn,0.04,29.0,0.0,9.5,,51.96,60.349999999999994,685.4007834649584,6.706552000000001,20,9.5,,67.20400783464957
Mn,0.03,29.0,0.0,9.5,,51.97,60.349999999999994,678.7020536541803,6.706539,20,9.5,,67.1370205365418
Mn,0.02,29.0,0.0,9.5,,51.980000000000004,60.349999999999994,670.7561225242858,6.706526000000001,20,9.5,,67.05756122524285
Mn,0.01,29.0,0.0,9.5,,51.989999999999995,60.349999999999994,660.4007834649584,6.706513,20,9.5,,66.95400783464957
