X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%,Score
Mn,0.02,29.0,0.05,8.0,,62.93,56.199999999999996,603.4965858735741,5.934101,20,0.0,,62.234965858735734
Mn,0.01,29.0,0.05,8.0,,62.94,56.199999999999996,593.1412468142466,5.934088,20,0.0,,62.131412468142464
Mn,0.3,29.0,0.0,8.0,,62.7,55.4,664.8226625955419,5.9343900000000005,20,0.0,,62.048226625955415
Mn,0.1,29.0,0.0,8.0,,62.9,55.4,606.94896472346,5.93413,20,0.0,,61.469489647234596
Mn,0.09,29.0,0.0,8.0,,62.91,55.4,602.8920232192504,5.9341170000000005,20,0.0,,61.4289202321925
Mn,0.08,29.0,0.0,8.0,,62.92,55.4,598.6027013379053,5.934104,20,0.0,,61.38602701337905
Mn,0.07,29.0,0.0,8.0,,62.93,55.4,594.0358059958653,5.9340910000000004,20,0.0,,61.34035805995865
Mn,0.06,29.0,0.0,8.0,,62.94,55.4,589.1292667888299,5.9340779999999995,20,0.0,,61.2912926678883
Mn,0.05,29.0,0.0,8.0,,62.95,55.4,583.7937226567452,5.934065,20,0.0,,61.23793722656745
Mn,0.04,29.0,0.0,8.0,,62.96,55.4,577.8920232192504,5.934052,20,0.0,,61.1789202321925
Mn,0.03,29.0,0.0,8.0,,62.97,55.4,571.1932934084724,5.934039,20,0.0,,61.11193293408472
Mn,0.02,29.0,0.0,8.0,,62.980000000000004,55.4,563.2473622785778,5.934026,20,0.0,,61.03247362278578
Mn,0.01,29.0,0.0,8.0,,62.989999999999995,55.4,552.8920232192504,5.934013,20,0.0,,60.9289202321925
