time/s	radius/um
607.423	5
659.393	10
695.671	15
719.966	20
756.571	25
787.57	30
814.811	35
855.28	40
904.244	45
935.974	50
956.43	55
997.277	60
1031.055	65
1068.485	70
1096.805	75
1146.55	80
1176.937	85
1210.686	90
1242.522	95
1266.047	100
1283.098	105
1302.433	110
1348.311	115
1360.826	120
1418.899	125
1470.6	130
1477.26	135
1508.414	140
1541.217	145
