time/s	radius/um
50.749 	2
116.697	4
145.143	6
186.9	8
221.647	10
265.44	12
306.521	14
325.202	16
380.772	18
424.106	20
451.671	22
496.818	24
542.455	26
584.162	28
631.748	30
666.782	32
709.915	34
724.549	36
777.332	38
816.187	40
846.495	42
879.436	44
922.72	46
960.288	48
987.384	50
1035.734	52
1064.692	54
1105.183	56
