time/s	radius/um
280.655	10
304.377	20
323.836	30
352.181	40
364.318	50
395.525	60
431.584	70
451.441	80
453.333	90
463.073	100
508.269	110
540.496	120
540.814	130
577.469	140
602.821	150
623.219	160
631.681	170
658.269	180
682.758	190
690.849	200
705.378	210
741.633	220
769.196	230
767.88	240
797.76	250
826.387	260
859.926	270
858.702	280
871.629	290
884.19	300
